year,region_id,category,layer,value
2014,1,status,ao_stock_status_bhi2015,NA
2014,2,status,ao_stock_status_bhi2015,20
2014,3,status,ao_stock_status_bhi2015,27
2014,4,status,ao_stock_status_bhi2015,NA
2014,5,status,ao_stock_status_bhi2015,20
2014,6,status,ao_stock_status_bhi2015,20
2014,7,status,ao_stock_status_bhi2015,NA
2014,8,status,ao_stock_status_bhi2015,NA
2014,9,status,ao_stock_status_bhi2015,70
2014,10,status,ao_stock_status_bhi2015,70
2014,11,status,ao_stock_status_bhi2015,NA
2014,12,status,ao_stock_status_bhi2015,76
2014,13,status,ao_stock_status_bhi2015,76
2014,14,status,ao_stock_status_bhi2015,84
2014,15,status,ao_stock_status_bhi2015,NA
2014,16,status,ao_stock_status_bhi2015,84
2014,17,status,ao_stock_status_bhi2015,NA
2014,18,status,ao_stock_status_bhi2015,NA
2014,19,status,ao_stock_status_bhi2015,NA
2014,20,status,ao_stock_status_bhi2015,NA
2014,21,status,ao_stock_status_bhi2015,NA
2014,22,status,ao_stock_status_bhi2015,NA
2014,23,status,ao_stock_status_bhi2015,100
2014,24,status,ao_stock_status_bhi2015,100
2014,25,status,ao_stock_status_bhi2015,NA
2014,26,status,ao_stock_status_bhi2015,20
2014,27,status,ao_stock_status_bhi2015,50
2014,28,status,ao_stock_status_bhi2015,50
2014,29,status,ao_stock_status_bhi2015,100
2014,30,status,ao_stock_status_bhi2015,100
2014,31,status,ao_stock_status_bhi2015,NA
2014,32,status,ao_stock_status_bhi2015,60
2014,33,status,ao_stock_status_bhi2015,NA
2014,34,status,ao_stock_status_bhi2015,NA
2014,35,status,ao_stock_status_bhi2015,95
2014,36,status,ao_stock_status_bhi2015,95
2014,37,status,ao_stock_status_bhi2015,80
2014,38,status,ao_stock_status_bhi2015,80
2014,39,status,ao_stock_status_bhi2015,67
2014,40,status,ao_stock_status_bhi2015,67
2014,41,status,ao_stock_status_bhi2015,80
2014,42,status,ao_stock_status_bhi2015,80
2014,1,trend,ao_stock_slope_bhi2015,-0.08
2014,2,trend,ao_stock_slope_bhi2015,-0.08
2014,3,trend,ao_stock_slope_bhi2015,-0.01
2014,4,trend,ao_stock_slope_bhi2015,-0.01
2014,5,trend,ao_stock_slope_bhi2015,-0.05
2014,6,trend,ao_stock_slope_bhi2015,-0.05
2014,7,trend,ao_stock_slope_bhi2015,NA
2014,8,trend,ao_stock_slope_bhi2015,NA
2014,9,trend,ao_stock_slope_bhi2015,NA
2014,10,trend,ao_stock_slope_bhi2015,NA
2014,11,trend,ao_stock_slope_bhi2015,0.16
2014,12,trend,ao_stock_slope_bhi2015,0.16
2014,13,trend,ao_stock_slope_bhi2015,0.16
2014,14,trend,ao_stock_slope_bhi2015,0.06
2014,15,trend,ao_stock_slope_bhi2015,0.06
2014,16,trend,ao_stock_slope_bhi2015,0.06
2014,17,trend,ao_stock_slope_bhi2015,0.06
2014,18,trend,ao_stock_slope_bhi2015,NA
2014,19,trend,ao_stock_slope_bhi2015,NA
2014,20,trend,ao_stock_slope_bhi2015,0.07
2014,21,trend,ao_stock_slope_bhi2015,0.07
2014,22,trend,ao_stock_slope_bhi2015,0.07
2014,23,trend,ao_stock_slope_bhi2015,0.07
2014,24,trend,ao_stock_slope_bhi2015,0.07
2014,25,trend,ao_stock_slope_bhi2015,0.07
2014,26,trend,ao_stock_slope_bhi2015,-0.01
2014,27,trend,ao_stock_slope_bhi2015,0.17
2014,28,trend,ao_stock_slope_bhi2015,0.17
2014,29,trend,ao_stock_slope_bhi2015,-0.06
2014,30,trend,ao_stock_slope_bhi2015,-0.06
2014,31,trend,ao_stock_slope_bhi2015,-0.06
2014,32,trend,ao_stock_slope_bhi2015,0.17
2014,33,trend,ao_stock_slope_bhi2015,NA
2014,34,trend,ao_stock_slope_bhi2015,NA
2014,35,trend,ao_stock_slope_bhi2015,0.13
2014,36,trend,ao_stock_slope_bhi2015,0.13
2014,37,trend,ao_stock_slope_bhi2015,0.06
2014,38,trend,ao_stock_slope_bhi2015,0.06
2014,39,trend,ao_stock_slope_bhi2015,0.03
2014,40,trend,ao_stock_slope_bhi2015,0.03
2014,41,trend,ao_stock_slope_bhi2015,0.11
2014,42,trend,ao_stock_slope_bhi2015,0.11
2014,1,status,cs_status_bhi2015,36.5695792880259
2014,2,status,cs_status_bhi2015,16.7487684729064
2014,3,status,cs_status_bhi2015,57.3684210526316
2014,4,status,cs_status_bhi2015,90
2014,5,status,cs_status_bhi2015,90
2014,6,status,cs_status_bhi2015,95
2014,7,status,cs_status_bhi2015,14.1025641025641
2014,8,status,cs_status_bhi2015,56.3492063492063
2014,9,status,cs_status_bhi2015,20.6349206349206
2014,10,status,cs_status_bhi2015,45
2014,11,status,cs_status_bhi2015,20.6349206349206
2014,12,status,cs_status_bhi2015,NA
2014,13,status,cs_status_bhi2015,21.4285714285714
2014,14,status,cs_status_bhi2015,16.6666666666667
2014,15,status,cs_status_bhi2015,NA
2014,16,status,cs_status_bhi2015,2.66666666666667
2014,17,status,cs_status_bhi2015,NA
2014,18,status,cs_status_bhi2015,8.62068965517241
2014,19,status,cs_status_bhi2015,NA
2014,20,status,cs_status_bhi2015,7.2992700729927
2014,21,status,cs_status_bhi2015,NA
2014,22,status,cs_status_bhi2015,NA
2014,23,status,cs_status_bhi2015,NA
2014,24,status,cs_status_bhi2015,NA
2014,25,status,cs_status_bhi2015,9.1324200913242
2014,26,status,cs_status_bhi2015,25.7359924026591
2014,27,status,cs_status_bhi2015,0
2014,28,status,cs_status_bhi2015,29.5409181636727
2014,29,status,cs_status_bhi2015,21.8926553672316
2014,30,status,cs_status_bhi2015,3.78787878787879
2014,31,status,cs_status_bhi2015,9.89247311827957
2014,32,status,cs_status_bhi2015,4.45859872611465
2014,33,status,cs_status_bhi2015,0
2014,34,status,cs_status_bhi2015,15.7894736842105
2014,35,status,cs_status_bhi2015,19.672131147541
2014,36,status,cs_status_bhi2015,19.5348837209302
2014,37,status,cs_status_bhi2015,NA
2014,38,status,cs_status_bhi2015,NA
2014,39,status,cs_status_bhi2015,NA
2014,40,status,cs_status_bhi2015,NA
2014,41,status,cs_status_bhi2015,NA
2014,42,status,cs_status_bhi2015,NA
2014,1,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,2,trend,cw_coastalpopn_trend_gl2014,7.768e-4
2014,3,trend,cw_coastalpopn_trend_gl2014,7.768e-4
2014,4,trend,cw_coastalpopn_trend_gl2014,-0.00738226
2014,5,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,6,trend,cw_coastalpopn_trend_gl2014,7.768e-4
2014,7,trend,cw_coastalpopn_trend_gl2014,7.768e-4
2014,8,trend,cw_coastalpopn_trend_gl2014,-0.00738226
2014,9,trend,cw_coastalpopn_trend_gl2014,7.768e-4
2014,10,trend,cw_coastalpopn_trend_gl2014,-0.00738226
2014,11,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,12,trend,cw_coastalpopn_trend_gl2014,7.768e-4
2014,13,trend,cw_coastalpopn_trend_gl2014,-0.00738226
2014,14,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,15,trend,cw_coastalpopn_trend_gl2014,7.768e-4
2014,16,trend,cw_coastalpopn_trend_gl2014,NA
2014,17,trend,cw_coastalpopn_trend_gl2014,0.00411374
2014,18,trend,cw_coastalpopn_trend_gl2014,0.00411374
2014,19,trend,cw_coastalpopn_trend_gl2014,-0.127109
2014,20,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,21,trend,cw_coastalpopn_trend_gl2014,0.00411374
2014,22,trend,cw_coastalpopn_trend_gl2014,-0.127109
2014,23,trend,cw_coastalpopn_trend_gl2014,-0.0110629
2014,24,trend,cw_coastalpopn_trend_gl2014,-0.0395615
2014,25,trend,cw_coastalpopn_trend_gl2014,-0.0564627
2014,26,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,27,trend,cw_coastalpopn_trend_gl2014,-0.0395615
2014,28,trend,cw_coastalpopn_trend_gl2014,-0.0564627
2014,29,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,30,trend,cw_coastalpopn_trend_gl2014,-0.0473734
2014,31,trend,cw_coastalpopn_trend_gl2014,-0.0564627
2014,32,trend,cw_coastalpopn_trend_gl2014,-0.0473734
2014,33,trend,cw_coastalpopn_trend_gl2014,-0.127109
2014,34,trend,cw_coastalpopn_trend_gl2014,-0.0564627
2014,35,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,36,trend,cw_coastalpopn_trend_gl2014,-0.0473734
2014,37,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,38,trend,cw_coastalpopn_trend_gl2014,-0.0473734
2014,39,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,40,trend,cw_coastalpopn_trend_gl2014,NA
2014,41,trend,cw_coastalpopn_trend_gl2014,0.00634518
2014,42,trend,cw_coastalpopn_trend_gl2014,NA
2014,1,score,cw_eut_status_score_bhi2015,79.7028840322861
2014,2,score,cw_eut_status_score_bhi2015,79.7028840322861
2014,3,score,cw_eut_status_score_bhi2015,60.0552976512892
2014,4,score,cw_eut_status_score_bhi2015,60.0552976512892
2014,5,score,cw_eut_status_score_bhi2015,72.5981249231337
2014,6,score,cw_eut_status_score_bhi2015,72.5981249231337
2014,7,score,cw_eut_status_score_bhi2015,82.8454983807375
2014,8,score,cw_eut_status_score_bhi2015,82.8454983807375
2014,9,score,cw_eut_status_score_bhi2015,68.7317879201356
2014,10,score,cw_eut_status_score_bhi2015,68.7317879201356
2014,11,score,cw_eut_status_score_bhi2015,79.7301674636584
2014,12,score,cw_eut_status_score_bhi2015,79.7301674636584
2014,13,score,cw_eut_status_score_bhi2015,79.7301674636584
2014,14,score,cw_eut_status_score_bhi2015,75.4596714106002
2014,15,score,cw_eut_status_score_bhi2015,73.5468138583812
2014,16,score,cw_eut_status_score_bhi2015,78.3247993975749
2014,17,score,cw_eut_status_score_bhi2015,74.7179089942195
2014,18,score,cw_eut_status_score_bhi2015,30.1
2014,19,score,cw_eut_status_score_bhi2015,30.1
2014,20,score,cw_eut_status_score_bhi2015,31.5732438178141
2014,21,score,cw_eut_status_score_bhi2015,51.0032370287003
2014,22,score,cw_eut_status_score_bhi2015,43.5625410039851
2014,23,score,cw_eut_status_score_bhi2015,59.8621650788001
2014,24,score,cw_eut_status_score_bhi2015,34.2402916455617
2014,25,score,cw_eut_status_score_bhi2015,42.6541906843349
2014,26,score,cw_eut_status_score_bhi2015,32.3889086344052
2014,27,score,cw_eut_status_score_bhi2015,44.2325217608742
2014,28,score,cw_eut_status_score_bhi2015,44.2325217608742
2014,29,score,cw_eut_status_score_bhi2015,36.9386332975944
2014,30,score,cw_eut_status_score_bhi2015,43.247933343032
2014,31,score,cw_eut_status_score_bhi2015,39.5099454402104
2014,32,score,cw_eut_status_score_bhi2015,54.8191054571063
2014,33,score,cw_eut_status_score_bhi2015,63.2794560853035
2014,34,score,cw_eut_status_score_bhi2015,46.7871144570853
2014,35,score,cw_eut_status_score_bhi2015,63.5553580234003
2014,36,score,cw_eut_status_score_bhi2015,63.5553580234003
2014,37,score,cw_eut_status_score_bhi2015,72.8720669034613
2014,38,score,cw_eut_status_score_bhi2015,72.8720669034613
2014,39,score,cw_eut_status_score_bhi2015,88.822419794841
2014,40,score,cw_eut_status_score_bhi2015,88.822419794841
2014,41,score,cw_eut_status_score_bhi2015,85.5730280101189
2014,42,score,cw_eut_status_score_bhi2015,85.5730280101189
2014,1,score,cw_eut_trend_score_bhi2015,0.03
2014,2,score,cw_eut_trend_score_bhi2015,0.03
2014,3,score,cw_eut_trend_score_bhi2015,-0.09
2014,4,score,cw_eut_trend_score_bhi2015,-0.09
2014,5,score,cw_eut_trend_score_bhi2015,0.2
2014,6,score,cw_eut_trend_score_bhi2015,0.2
2014,7,score,cw_eut_trend_score_bhi2015,-0.03
2014,8,score,cw_eut_trend_score_bhi2015,-0.03
2014,9,score,cw_eut_trend_score_bhi2015,0.04
2014,10,score,cw_eut_trend_score_bhi2015,0.04
2014,11,score,cw_eut_trend_score_bhi2015,0.15
2014,12,score,cw_eut_trend_score_bhi2015,0.15
2014,13,score,cw_eut_trend_score_bhi2015,0.15
2014,14,score,cw_eut_trend_score_bhi2015,0.11
2014,15,score,cw_eut_trend_score_bhi2015,0.03
2014,16,score,cw_eut_trend_score_bhi2015,0.24
2014,17,score,cw_eut_trend_score_bhi2015,0.12
2014,18,score,cw_eut_trend_score_bhi2015,0.19
2014,19,score,cw_eut_trend_score_bhi2015,0.19
2014,20,score,cw_eut_trend_score_bhi2015,-0.3
2014,21,score,cw_eut_trend_score_bhi2015,-0.01
2014,22,score,cw_eut_trend_score_bhi2015,-0.24
2014,23,score,cw_eut_trend_score_bhi2015,0.03
2014,24,score,cw_eut_trend_score_bhi2015,-0.28
2014,25,score,cw_eut_trend_score_bhi2015,-0.18
2014,26,score,cw_eut_trend_score_bhi2015,-0.17
2014,27,score,cw_eut_trend_score_bhi2015,-0.6
2014,28,score,cw_eut_trend_score_bhi2015,-0.6
2014,29,score,cw_eut_trend_score_bhi2015,-0.28
2014,30,score,cw_eut_trend_score_bhi2015,-0.23
2014,31,score,cw_eut_trend_score_bhi2015,-0.19
2014,32,score,cw_eut_trend_score_bhi2015,-0.01
2014,33,score,cw_eut_trend_score_bhi2015,0.33
2014,34,score,cw_eut_trend_score_bhi2015,-0.1
2014,35,score,cw_eut_trend_score_bhi2015,0.14
2014,36,score,cw_eut_trend_score_bhi2015,0.14
2014,37,score,cw_eut_trend_score_bhi2015,0.05
2014,38,score,cw_eut_trend_score_bhi2015,0.05
2014,39,score,cw_eut_trend_score_bhi2015,-0.03
2014,40,score,cw_eut_trend_score_bhi2015,-0.03
2014,41,score,cw_eut_trend_score_bhi2015,0.01
2014,42,score,cw_eut_trend_score_bhi2015,0.01
2014,1,status,cw_con_dioxin_status_bhi2015,100
2014,2,status,cw_con_dioxin_status_bhi2015,100
2014,3,status,cw_con_dioxin_status_bhi2015,NA
2014,4,status,cw_con_dioxin_status_bhi2015,NA
2014,5,status,cw_con_dioxin_status_bhi2015,NA
2014,6,status,cw_con_dioxin_status_bhi2015,NA
2014,7,status,cw_con_dioxin_status_bhi2015,NA
2014,8,status,cw_con_dioxin_status_bhi2015,NA
2014,9,status,cw_con_dioxin_status_bhi2015,NA
2014,10,status,cw_con_dioxin_status_bhi2015,NA
2014,11,status,cw_con_dioxin_status_bhi2015,100
2014,12,status,cw_con_dioxin_status_bhi2015,100
2014,13,status,cw_con_dioxin_status_bhi2015,100
2014,14,status,cw_con_dioxin_status_bhi2015,100
2014,15,status,cw_con_dioxin_status_bhi2015,100
2014,16,status,cw_con_dioxin_status_bhi2015,100
2014,17,status,cw_con_dioxin_status_bhi2015,100
2014,18,status,cw_con_dioxin_status_bhi2015,NA
2014,19,status,cw_con_dioxin_status_bhi2015,NA
2014,20,status,cw_con_dioxin_status_bhi2015,NA
2014,21,status,cw_con_dioxin_status_bhi2015,NA
2014,22,status,cw_con_dioxin_status_bhi2015,NA
2014,23,status,cw_con_dioxin_status_bhi2015,NA
2014,24,status,cw_con_dioxin_status_bhi2015,NA
2014,25,status,cw_con_dioxin_status_bhi2015,NA
