goal,Goal/Subgoal,Dataset,Description,Source
CS,CS,"Zostera marina Data, Zostera marina observations (LC)",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/dd90a6aa-1d65-4158-a2e7-7ca3ee87d615"" target = ""_blank"">HELCOM Map and Data Service</a>"
CS,CS,"Zostera marina Data, Zostera marina distribution",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/ca327bb1-d3cb-46c2-8316-f5f62f889090"" target = ""_blank"">HELCOM Map and Data Service</a>"
CS,CS,"Zostera marina Data, Seagrass Meadows",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/6a0c8a15-3ff0-48e3-a878-0aa388122867"" target = ""_blank"">HELCOM Map and Data Service</a>"
TR,TR,"Tourism Accommodations Data, Nights spent at tourist accommodation establishments by all NUTS regions",,"<a href=""http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=tour_occ_nin2&lang=en"" target = ""_blank"">Eurostat database</a>"
TR,TR,"Tourism Accommodations Data, Nights spent at tourist accommodation establishments by coastal and non-coastal area  ",,"<a href=""http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=tour_occ_nin2c&lang=en,"" target = ""_blank"">Eurostat database</a>"
TR,TR,EU Baltic countries GVA Data,,"<a href=""https://ec.europa.eu/maritimeaffairs/sites/maritimeaffairs/files/2020_06_blueeconomy-2020-ld_final.pdf"" target = ""_blank"">2020 EU Blue economy report</a>"
SP,LSP,"MPA Data, HELCOM MPAs",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/d27df8c0-de86-4d13-a06d-35a8f50b16fa"" target = ""_blank"">HELCOM Map and Data Service</a>"
LSP,LSP,"MPA Data, HELCOM MPAs",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/d27df8c0-de86-4d13-a06d-35a8f50b16fa"" target = ""_blank"">HELCOM Map and Data Service</a>"
SP,LSP,"MPA Data, MPAs",,"<a href=""http://mpas.helcom.fi/apex/f?p=103:5::::::"" target = ""_blank"">HELCOM Marine Protected Areas database</a>"
LSP,LSP,"MPA Data, MPAs",,"<a href=""http://mpas.helcom.fi/apex/f?p=103:5::::::"" target = ""_blank"">HELCOM Marine Protected Areas database</a>"
SP,LSP,"MPA Data, Management Plans",,"<a href=""http://mpas.helcom.fi/apex/f?p=103:5::::::"" target = ""_blank"">HELCOM Marine Protected Areas database</a>"
LSP,LSP,"MPA Data, Management Plans",,"<a href=""http://mpas.helcom.fi/apex/f?p=103:5::::::"" target = ""_blank"">HELCOM Marine Protected Areas database</a>"
SP,LSP,Reference values,,"<a href=""https://www.cbd.int/sp/targets/rationale/target-11/."" target = ""_blank"">Target 11 - Technical Rationale</a>"
LSP,LSP,Reference values,,"<a href=""https://www.cbd.int/sp/targets/rationale/target-11/."" target = ""_blank"">Target 11 - Technical Rationale</a>"
SP,ICO,"Species Presence, Observations and Red List Assessments",,"<a href=""http://maps.helcom.fi/website/Biodiversity/"" target = ""_blank"">HELCOM Biodiversity Database</a>"
ICO,ICO,"Species Presence, Observations and Red List Assessments",,"<a href=""http://maps.helcom.fi/website/Biodiversity/"" target = ""_blank"">HELCOM Biodiversity Database</a>"
SP,ICO,"Red list (IUCN) information, about Species and their Assessment at HELCOM",,"<a href=""http://maps.helcom.fi/website/Biodiversity/"" target = ""_blank"">HELCOM Biodiversity Database</a>"
ICO,ICO,"Red list (IUCN) information, about Species and their Assessment at HELCOM",,"<a href=""http://maps.helcom.fi/website/Biodiversity/"" target = ""_blank"">HELCOM Biodiversity Database</a>"
SP,ICO,"Species ID, with taxanomic information for each species in HELCOM database",,"<a href=""http://maps.helcom.fi/website/Biodiversity/"" target = ""_blank"">HELCOM Biodiversity Database</a>"
ICO,ICO,"Species ID, with taxanomic information for each species in HELCOM database",,"<a href=""http://maps.helcom.fi/website/Biodiversity/"" target = ""_blank"">HELCOM Biodiversity Database</a>"
AO,AO,Coastal fish Data,,"<a href=""http://www.helcom.fi/helcom-at-work/projects/fish-pro/"" target = ""_blank"">HELCOM FISH-PRO II</a>"
AO,AO,Coastal fish Data,,"<a href=""http://stateofthebalticsea.helcom.fi/wp-content/uploads/2017/07/HELCOM_The_integrated_assessment_of_biodiversity_supplementary_report_first_version_2017.pdf,"" target = ""_blank"">BEAT-tool as developed within HOLAS II</a>"
BD,BD,"Habitats, Integrated biodiversity status assessment - Benthic Habitats",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/478d52dd-08b7-4777-b879-8806b1188b27"" target = ""_blank"">HELCOM Metadata catalogue: </a>"
BD,BD,"Habitats, Integrated biodiversity status assessment - Pelagic Habitats",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/821b33a7-35b3-489c-93ab-9ef8f4422f2a"" target = ""_blank"">HELCOM Metadata catalogue: </a>"
BD,BD,"Species Groups, Integrated biodiversity status assessment - Fish",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/ee20ad8b-c826-4561-b63a-bf203bb481b9"" target = ""_blank"">HELCOM Metadata catalogue: </a>"
BD,BD,"Species Groups, Integrated biodiversity status assessment - Seals",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/c1662d7b-f63a-48cc-96f6-3072d328ae56"" target = ""_blank"">HELCOM Metadata catalogue: </a>"
